,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
1,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
2,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
3,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
4,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
5,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
6,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
7,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
8,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
9,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
10,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
11,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
12,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
13,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
14,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
15,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
16,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
17,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
18,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
19,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
20,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
21,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
22,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
23,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
24,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
25,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
26,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
27,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
28,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
29,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
30,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
31,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
32,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
33,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
34,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
35,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
36,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
37,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
38,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
39,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
40,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
41,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
42,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
43,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
44,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
45,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
46,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
47,Santiago del Estero,44,AR,1514066954,62,-27.8,-64.26,79.19,16.31
48,Dawei,0,MM,1514066954,79,14.07,98.19,71.85,1.99
49,Hualmay,24,PE,1514066955,68,-11.1,-77.61,73.11,4.61
50,Antofagasta,20,CL,1514062800,60,-23.65,-70.4,71.6,13.87
51,Anloga,20,GH,1514062800,64,5.79,0.9,75.2,2.24
52,Yellowknife,40,CA,1514062800,76,62.45,-114.38,-7.61,10.29
53,Khandbari,48,NP,1514066958,68,27.38,87.21,29.73,1.48
54,Tamandare,36,BR,1514066959,69,-8.28,-70.75,85.62,4.9
55,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
56,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
57,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
58,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
59,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
60,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
61,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
62,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
63,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
64,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
65,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
66,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
67,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
68,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
69,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
70,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
71,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
72,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
73,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
74,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
75,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
76,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
77,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
78,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
79,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
80,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
81,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
82,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
